"","unique_genes","Entrez","Ensembl","Symbols"
"684327",1.27434974343032,"684327","ENSRNOG00000049614","Itih5"
"499146",1.27398152459904,"499146","ENSRNOG00000019660","Spib"
"140860",1.27268256514141,"140860","ENSRNOG00000017976","Slco2b1"
"24807",1.27261333341134,"24807","ENSRNOG00000005853","Tacr1"
"291437",1.27160654623592,"291437","ENSRNOG00000018694","Lipg"
"365155",1.2692333133036,"365155","ENSRNOG00000021493","Prdm9"
"295462",1.26913553529606,"295462","ENSRNOG00000009433","Mcub"
"310764",1.2689420242281,"310764","ENSRNOG00000015691","Inka2"
"64345",1.26844198113836,"64345","ENSRNOG00000017198","Hif3a"
"295117",1.26750209697556,"295117","ENSRNOG00000021186","Otol1"
"25312",1.26703646166156,"25312","ENSRNOG00000002167","Dmp1"
"303523",1.26601447146511,"303523","ENSRNOG00000031422","Krt39"
"60349",1.26477439880964,"60349","ENSRNOG00000000653","Nr5a2"
"293874",1.26454268871371,"293874","ENSRNOG00000013053","Trpm6"
"266680",1.26417715863866,"266680","ENSRNOG00000006200","St18"
"314906",1.26220543271673,"314906","ENSRNOG00000005299","Kif5a"
"25419",1.26217679914236,"25419","ENSRNOG00000000053","Crp"
"316395",1.26104196755773,"316395","ENSRNOG00000013257","Hecw2"
"497770",1.25945789603922,"497770","ENSRNOG00000005007","Scn3a"
"84489",1.25716460401678,"84489","ENSRNOG00000016818","Fgfr3"
"301039",1.25326243920252,"301039","ENSRNOG00000026951","Susd5"
"681008",1.25174832748876,"681008","ENSRNOG00000053303","Bend4"
"64507",1.24837361313995,"64507","ENSRNOG00000003183","Fmod"
"64865",1.24501097356071,"64865","ENSRNOG00000013101","Pcdh8"
"500865",1.24320480961462,"500865","ENSRNOG00000004200","Sybu"
"365367",1.24170485082365,"365367","ENSRNOG00000018311","Cd19"
"361069",1.24116101221277,"361069","ENSRNOG00000012273","Dmtn"
"257648",1.24087246283358,"257648","ENSRNOG00000004560","Cacna1b"
"501628",1.23957323032773,"501628","ENSRNOG00000046390","Tceal3"
"680415",1.23793028386813,"680415","ENSRNOG00000042860","Pappa2"
"365391",1.23786085653053,"365391","ENSRNOG00000020484","Trpm5"
"50561",1.23778111220873,"50561","ENSRNOG00000019704","Resp18"
"494223",1.23648467795663,"494223","ENSRNOG00000022248","Fbxl16"
"291015",1.23367302194171,"291015","ENSRNOG00000029792","Ogn"
"362036",1.23306547885955,"362036","ENSRNOG00000011076","Ank2"
"64444",1.22812731883578,"64444","ENSRNOG00000012556","Isl1"
"498987",1.22624343936153,"498987","ENSRNOG00000047783","Tmem200a"
"311425",1.22592742434767,"311425","ENSRNOG00000021242","Adam33"
"24772",1.22443985437156,"24772","ENSRNOG00000013589","Cxcl12"
"25290",1.22318158273805,"25290","ENSRNOG00000012972","Alox5"
"25146",1.22275117440316,"25146","ENSRNOG00000020035","Cyp17a1"
"407756",1.22084236700399,"407756","ENSRNOG00000030246","Btla"
"25526",1.22015943636747,"25526","ENSRNOG00000015550","Ptgds"
"312192",1.21940918739757,"312192","ENSRNOG00000039300","Ahcyl2"
"680174",1.21855033187902,"680174","ENSRNOG00000025519","Sval1"
"29225",1.21304412504721,"29225","ENSRNOG00000015438","Ces1e"
"58814",1.21200975416718,"58814","ENSRNOG00000010447","Tmod2"
"300664",1.21086165979279,"300664","ENSRNOG00000008862","Abcg4"
"498491",1.20953775958931,"498491","ENSRNOG00000032368","Tlr11"
"64362",1.20811512444701,"64362","ENSRNOG00000019810","Des"
"289335",1.2077987317447,"289335","ENSRNOG00000003562","Susd4"
"114028",1.20710061124577,"114028","ENSRNOG00000010649","Ctnnd2"
"114492",1.2069757840017,"114492","ENSRNOG00000059640","Ccl28"
"246172",1.20593626274026,"246172","ENSRNOG00000012512","Nexn"
"300718",1.20395000697461,"300718","ENSRNOG00000023870","Sh2d7"
"365581",1.20387253010465,"365581","ENSRNOG00000028598","Edar"
"305846",1.20268500345198,"305846","ENSRNOG00000010375","Slc39a2"
"288105",1.20125637596934,"288105","ENSRNOG00000056716","Zbtb20"
"25248",1.20035841603189,"25248","ENSRNOG00000008223","Cnr1"
"54225",1.1999783597498,"54225","ENSRNOG00000005542","Apob"
"360457",1.19898580095101,"360457","ENSRNOG00000003587","Vegfd"
"25117",1.19759009886728,"25117","ENSRNOG00000017084","Hsd11b2"
"500037",1.19620403960946,"500037","ENSRNOG00000054508","Foxp2"
"688510",1.19376159117307,"688510","ENSRNOG00000010791","Ripor3"
"311558",1.1937219625157,"311558","ENSRNOG00000013371","Bpifb6"
"287222",1.19175811502479,"287222","ENSRNOG00000021345","Timd2"
"84405",1.19172886582258,"84405","ENSRNOG00000009468","Il12a"
"306285",1.19028012981047,"306285","ENSRNOG00000051688","Syt15"
"25293",1.18825706104492,"25293","ENSRNOG00000016043","Aqp4"
"170917",1.18825634572855,"170917","ENSRNOG00000007478","Cry2"
"362662",1.18755271547478,"362662","ENSRNOG00000015850","Rbp7"
"298496",1.18715273592521,"298496","ENSRNOG00000060435","Kcnq4"
"303559",1.18456599895108,"303559","ENSRNOG00000020770","Arl4d"
"498564",1.18372728420863,"498564","ENSRNOG00000004516","Itgbl1"
"83824",1.18335944770423,"83824","ENSRNOG00000045764","Cxxc4"
"309544",1.18304699302916,"309544","ENSRNOG00000014705","Rbm20"
"306110",1.1825888890466,"306110","ENSRNOG00000009145","Klf12"
"363498",1.1824066635854,"363498","ENSRNOG00000032729","Bex1"
"288743",1.18094282950368,"288743","ENSRNOG00000000708","Sgsm1"
"314555",1.17979391844518,"314555","ENSRNOG00000006278","Tspyl5"
"302668",1.17951826246115,"302668","ENSRNOG00000031665","Ace2"
"315761",1.17946930312222,"315761","ENSRNOG00000029911","Cilp"
"64553",1.17929401510269,"64553","ENSRNOG00000004841","Akap6"
"289201",1.17480643075541,"289201","ENSRNOG00000004642","Lmx1a"
"407781",1.17357299185077,"407781","ENSRNOG00000039396","Btnl3"
